86:  1/5 : 89.7% | 2/5 : 73.6% | 3/5 : 59.8% | 4/5 : 51.7% | 5/5 : 47.1% | 6/5 : 321.8% ||
87:  1/5 : 88.6% | 2/5 : 72.7% | 3/5 : 59.1% | 4/5 : 51.1% | 5/5 : 46.6% | 6/5 : 318.2% ||
88:  1/5 : 88.8% | 2/5 : 73.0% | 3/5 : 59.6% | 4/5 : 51.7% | 5/5 : 47.2% | 6/5 : 320.2% ||
89:  1/5 : 88.9% | 2/5 : 73.3% | 3/5 : 60.0% | 4/5 : 52.2% | 5/5 : 47.8% | 6/5 : 322.2% ||
90:  1/5 : 89.0% | 2/5 : 73.6% | 3/5 : 60.4% | 4/5 : 52.7% | 5/5 : 48.4% | 6/5 : 324.2% ||
91:  1/5 : 89.1% | 2/5 : 72.8% | 3/5 : 59.8% | 4/5 : 52.2% | 5/5 : 47.8% | 6/5 : 321.7% ||
92:  1/5 : 89.2% | 2/5 : 73.1% | 3/5 : 59.1% | 4/5 : 51.6% | 5/5 : 47.3% | 6/5 : 320.4% ||
93:  1/5 : 88.3% | 2/5 : 72.3% | 3/5 : 58.5% | 4/5 : 51.1% | 5/5 : 46.8% | 6/5 : 317.0% ||
94:  1/5 : 87.4% | 2/5 : 71.6% | 3/5 : 57.9% | 4/5 : 50.5% | 5/5 : 46.3% | 6/5 : 313.7% ||
95:  1/5 : 87.5% | 2/5 : 71.9% | 3/5 : 58.3% | 4/5 : 50.0% | 5/5 : 45.8% | 6/5 : 313.5% ||
96:  1/5 : 87.6% | 2/5 : 72.2% | 3/5 : 58.8% | 4/5 : 49.5% | 5/5 : 45.4% | 6/5 : 313.4% ||
97:  1/5 : 87.8% | 2/5 : 72.4% | 3/5 : 58.2% | 4/5 : 49.0% | 5/5 : 44.9% | 6/5 : 312.2% ||
98:  1/5 : 87.9% | 2/5 : 72.7% | 3/5 : 57.6% | 4/5 : 48.5% | 5/5 : 44.4% | 6/5 : 311.1% ||
99:  1/5 : 87.0% | 2/5 : 72.0% | 3/5 : 57.0% | 4/5 : 48.0% | 5/5 : 44.0% | 6/5 : 308.0% ||
100:  1/5 : 87.1% | 2/5 : 72.3% | 3/5 : 57.4% | 4/5 : 48.5% | 5/5 : 44.6% | 6/5 : 309.9% ||
101:  1/5 : 87.3% | 2/5 : 72.5% | 3/5 : 57.8% | 4/5 : 49.0% | 5/5 : 45.1% | 6/5 : 311.8% ||
102:  1/5 : 87.4% | 2/5 : 72.8% | 3/5 : 58.3% | 4/5 : 49.5% | 5/5 : 45.6% | 6/5 : 313.6% ||
103:  1/5 : 86.5% | 2/5 : 72.1% | 3/5 : 57.7% | 4/5 : 49.0% | 5/5 : 45.2% | 6/5 : 310.6% ||
