138/250: 0.806 | 0.568 | 0.489 | 0.374 | 0.309 | 
139/250: 0.807 | 0.571 | 0.493 | 0.379 | 0.314 | 
140/250: 0.809 | 0.574 | 0.496 | 0.376 | 0.312 | 
141/250: 0.810 | 0.577 | 0.500 | 0.373 | 0.310 | 
142/250: 0.811 | 0.580 | 0.497 | 0.371 | 0.308 | 
143/250: 0.812 | 0.583 | 0.493 | 0.368 | 0.306 | 
144/250: 0.814 | 0.586 | 0.497 | 0.372 | 0.310 | 
145/250: 0.815 | 0.589 | 0.500 | 0.377 | 0.315 | 
146/250: 0.816 | 0.585 | 0.497 | 0.374 | 0.313 | 
147/250: 0.818 | 0.581 | 0.493 | 0.372 | 0.311 | 
148/250: 0.819 | 0.584 | 0.497 | 0.376 | 0.309 | 
149/250: 0.820 | 0.587 | 0.500 | 0.380 | 0.313 | 
150/250: 0.821 | 0.583 | 0.497 | 0.377 | 0.311 | 
151/250: 0.822 | 0.579 | 0.493 | 0.375 | 0.309 | 
152/250: 0.824 | 0.575 | 0.490 | 0.373 | 0.307 | 
153/250: 0.825 | 0.578 | 0.494 | 0.377 | 0.312 | 
154/250: 0.819 | 0.574 | 0.490 | 0.374 | 0.310 | 
155/250: 0.821 | 0.577 | 0.494 | 0.372 | 0.308 | 
156/250: 0.822 | 0.580 | 0.497 | 0.369 | 0.306 | 
157/250: 0.816 | 0.576 | 0.494 | 0.367 | 0.304 | 
158/250: 0.818 | 0.579 | 0.497 | 0.365 | 0.302 | 
159/250: 0.819 | 0.575 | 0.494 | 0.362 | 0.300 | 
160/250: 0.820 | 0.571 | 0.491 | 0.360 | 0.298 | 
161/250: 0.821 | 0.568 | 0.488 | 0.358 | 0.296 | 
162/250: 0.816 | 0.564 | 0.485 | 0.356 | 0.294 | 
163/250: 0.817 | 0.561 | 0.482 | 0.354 | 0.293 | 
164/250: 0.818 | 0.564 | 0.485 | 0.352 | 0.291 | 
165/250: 0.819 | 0.566 | 0.482 | 0.349 | 0.289 | 
166/250: 0.820 | 0.569 | 0.479 | 0.347 | 0.287 | 
167/250: 0.815 | 0.565 | 0.476 | 0.345 | 0.286 | 
168/250: 0.811 | 0.562 | 0.473 | 0.343 | 0.284 | 
169/250: 0.812 | 0.565 | 0.476 | 0.347 | 0.288 | 
170/250: 0.813 | 0.561 | 0.474 | 0.345 | 0.287 | 
171/250: 0.814 | 0.558 | 0.471 | 0.343 | 0.285 | 
172/250: 0.815 | 0.555 | 0.468 | 0.341 | 0.283 | 
173/250: 0.810 | 0.552 | 0.466 | 0.339 | 0.282 | 
174/250: 0.811 | 0.554 | 0.469 | 0.343 | 0.286 | 
175/250: 0.812 | 0.557 | 0.472 | 0.347 | 0.290 | 
176/250: 0.808 | 0.554 | 0.469 | 0.345 | 0.288 | 
177/250: 0.803 | 0.551 | 0.466 | 0.343 | 0.287 | 
178/250: 0.799 | 0.547 | 0.464 | 0.341 | 0.285 | 
179/250: 0.800 | 0.550 | 0.467 | 0.344 | 0.289 | 
180/250: 0.801 | 0.552 | 0.470 | 0.348 | 0.287 | 
181/250: 0.802 | 0.555 | 0.473 | 0.352 | 0.291 | 
182/250: 0.803 | 0.552 | 0.470 | 0.350 | 0.290 | 
183/250: 0.804 | 0.554 | 0.467 | 0.348 | 0.288 | 
184/250: 0.800 | 0.551 | 0.465 | 0.346 | 0.286 | 
185/250: 0.801 | 0.554 | 0.468 | 0.349 | 0.290 | 
186/250: 0.802 | 0.556 | 0.471 | 0.348 | 0.289 | 
187/250: 0.803 | 0.559 | 0.473 | 0.351 | 0.293 | 
188/250: 0.804 | 0.561 | 0.471 | 0.349 | 0.291 | 
189/250: 0.805 | 0.558 | 0.468 | 0.347 | 0.289 | 
190/250: 0.801 | 0.555 | 0.466 | 0.346 | 0.288 | 
191/250: 0.797 | 0.552 | 0.464 | 0.344 | 0.286 | 
192/250: 0.798 | 0.554 | 0.466 | 0.342 | 0.285 | 
193/250: 0.794 | 0.552 | 0.464 | 0.340 | 0.284 | 
194/250: 0.790 | 0.549 | 0.462 | 0.338 | 0.282 | 
195/250: 0.791 | 0.546 | 0.459 | 0.337 | 0.281 | 
