195/250: 0.903 | 0.796 | 0.668 | 0.551 | 0.454 | 
196/250: 0.904 | 0.797 | 0.670 | 0.553 | 0.457 | 
197/250: 0.904 | 0.798 | 0.672 | 0.556 | 0.460 | 
198/250: 0.899 | 0.794 | 0.668 | 0.553 | 0.457 | 
199/250: 0.900 | 0.790 | 0.665 | 0.550 | 0.455 | 
200/250: 0.900 | 0.791 | 0.667 | 0.552 | 0.458 | 
201/250: 0.901 | 0.792 | 0.668 | 0.554 | 0.455 | 
202/250: 0.901 | 0.793 | 0.670 | 0.557 | 0.458 | 
203/250: 0.902 | 0.794 | 0.672 | 0.559 | 0.461 | 
204/250: 0.902 | 0.795 | 0.673 | 0.561 | 0.463 | 
205/250: 0.903 | 0.796 | 0.675 | 0.563 | 0.466 | 
206/250: 0.899 | 0.792 | 0.671 | 0.560 | 0.464 | 
207/250: 0.899 | 0.793 | 0.673 | 0.558 | 0.462 | 
208/250: 0.900 | 0.794 | 0.670 | 0.555 | 0.459 | 
209/250: 0.900 | 0.795 | 0.671 | 0.557 | 0.462 | 
210/250: 0.900 | 0.791 | 0.668 | 0.555 | 0.460 | 
211/250: 0.901 | 0.788 | 0.665 | 0.552 | 0.458 | 
212/250: 0.901 | 0.789 | 0.662 | 0.549 | 0.455 | 
213/250: 0.902 | 0.790 | 0.664 | 0.551 | 0.458 | 
214/250: 0.902 | 0.791 | 0.665 | 0.553 | 0.460 | 
215/250: 0.903 | 0.792 | 0.667 | 0.556 | 0.463 | 
216/250: 0.903 | 0.793 | 0.668 | 0.558 | 0.465 | 
217/250: 0.904 | 0.794 | 0.670 | 0.560 | 0.463 | 
218/250: 0.904 | 0.795 | 0.667 | 0.557 | 0.461 | 
219/250: 0.905 | 0.795 | 0.668 | 0.559 | 0.459 | 
220/250: 0.905 | 0.796 | 0.670 | 0.561 | 0.462 | 
221/250: 0.905 | 0.797 | 0.671 | 0.563 | 0.464 | 
222/250: 0.906 | 0.798 | 0.668 | 0.561 | 0.462 | 
223/250: 0.906 | 0.799 | 0.665 | 0.558 | 0.460 | 
224/250: 0.907 | 0.800 | 0.667 | 0.560 | 0.458 | 
225/250: 0.907 | 0.796 | 0.664 | 0.558 | 0.456 | 
226/250: 0.907 | 0.797 | 0.661 | 0.555 | 0.454 | 
227/250: 0.908 | 0.798 | 0.662 | 0.557 | 0.452 | 
228/250: 0.908 | 0.799 | 0.659 | 0.555 | 0.450 | 
229/250: 0.909 | 0.800 | 0.661 | 0.557 | 0.452 | 
230/250: 0.909 | 0.801 | 0.662 | 0.558 | 0.450 | 
231/250: 0.909 | 0.797 | 0.659 | 0.556 | 0.448 | 
232/250: 0.910 | 0.798 | 0.661 | 0.558 | 0.451 | 
233/250: 0.910 | 0.799 | 0.662 | 0.556 | 0.449 | 
234/250: 0.911 | 0.796 | 0.660 | 0.553 | 0.447 | 
235/250: 0.907 | 0.792 | 0.657 | 0.551 | 0.445 | 
236/250: 0.907 | 0.793 | 0.658 | 0.553 | 0.447 | 
237/250: 0.908 | 0.794 | 0.660 | 0.555 | 0.450 | 
238/250: 0.908 | 0.795 | 0.661 | 0.556 | 0.452 | 
239/250: 0.908 | 0.796 | 0.662 | 0.558 | 0.454 | 
240/250: 0.909 | 0.797 | 0.664 | 0.560 | 0.456 | 
241/250: 0.909 | 0.798 | 0.665 | 0.562 | 0.459 | 
242/250: 0.909 | 0.798 | 0.667 | 0.564 | 0.461 | 
243/250: 0.910 | 0.799 | 0.664 | 0.561 | 0.459 | 
244/250: 0.910 | 0.800 | 0.665 | 0.563 | 0.461 | 
245/250: 0.911 | 0.801 | 0.667 | 0.565 | 0.463 | 
246/250: 0.911 | 0.802 | 0.668 | 0.567 | 0.466 | 
247/250: 0.911 | 0.802 | 0.669 | 0.565 | 0.464 | 
